,uid,variable1,variable2,coefficient,k1,k2
0,0,Residence type: Lives in a household; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,0.12056470368151638,TS001,TS004
1,1,Residence type: Lives in a household; measures: Value,Country of birth: Europe: EU countries; measures: Value,-0.09396236099135936,TS001,TS004
2,2,Residence type: Lives in a household; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,-0.14350769853975837,TS001,TS004
3,3,Residence type: Lives in a household; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,-0.029480511764888088,TS001,TS004
4,4,Residence type: Lives in a household; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,-0.005113674632289306,TS001,TS004
5,5,Residence type: Lives in a household; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,-0.08207049896184873,TS001,TS004
6,6,Residence type: Lives in a household; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,-0.050929164997750104,TS001,TS004
7,7,Residence type: Lives in a household; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,-0.050929164997750104,TS001,TS004
8,8,Residence type: Lives in a household; measures: Value,Country of birth: Africa; measures: Value,-0.06568144916728694,TS001,TS004
9,9,Residence type: Lives in a household; measures: Value,Country of birth: Middle East and Asia; measures: Value,-0.12472692584937563,TS001,TS004
10,10,Residence type: Lives in a household; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,-0.08841129879752152,TS001,TS004
11,11,Residence type: Lives in a household; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,-0.07925915637466178,TS001,TS004
12,12,Residence type: Lives in a household; measures: Value,Country of birth: British Overseas ; measures: Value,-0.0951717529390597,TS001,TS004
13,13,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,-0.12056470368151635,TS001,TS004
14,14,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: EU countries; measures: Value,0.09396236099135934,TS001,TS004
15,15,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,0.1435076985397583,TS001,TS004
16,16,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,0.029480511764888077,TS001,TS004
17,17,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,0.00511367463228929,TS001,TS004
18,18,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,0.08207049896184873,TS001,TS004
19,19,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,0.05092916499775011,TS001,TS004
20,20,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,0.05092916499775011,TS001,TS004
21,21,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Africa; measures: Value,0.06568144916728694,TS001,TS004
22,22,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Middle East and Asia; measures: Value,0.1247269258493756,TS001,TS004
23,23,Residence type: Lives in a communal establishment; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,0.08841129879752153,TS001,TS004
24,24,Residence type: Lives in a communal establishment; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,0.07925915637466178,TS001,TS004
25,25,Residence type: Lives in a communal establishment; measures: Value,Country of birth: British Overseas ; measures: Value,0.09517175293905972,TS001,TS004
26,26,Residence type: Lives in a household; measures: Value,Age: Aged 4 years and under,0.280826788204665,TS001,TS007A
27,27,Residence type: Lives in a household; measures: Value,Age: Aged 5 to 9 years,0.3491401295614082,TS001,TS007A
28,28,Residence type: Lives in a household; measures: Value,Age: Aged 10 to 14 years,0.33505112857488645,TS001,TS007A
29,29,Residence type: Lives in a household; measures: Value,Age: Aged 15 to 19 years,-0.763259226839251,TS001,TS007A
30,30,Residence type: Lives in a household; measures: Value,Age: Aged 20 to 24 years,-0.5694777283649285,TS001,TS007A
31,31,Residence type: Lives in a household; measures: Value,Age: Aged 25 to 29 years,-0.1500256530637936,TS001,TS007A
32,32,Residence type: Lives in a household; measures: Value,Age: Aged 30 to 34 years,0.018023906755037854,TS001,TS007A
33,33,Residence type: Lives in a household; measures: Value,Age: Aged 35 to 39 years,0.1544756470694643,TS001,TS007A
34,34,Residence type: Lives in a household; measures: Value,Age: Aged 40 to 44 years,0.2737146649499997,TS001,TS007A
35,35,Residence type: Lives in a household; measures: Value,Age: Aged 45 to 49 years,0.40152252392076104,TS001,TS007A
36,36,Residence type: Lives in a household; measures: Value,Age: Aged 50 to 54 years,0.4079078475399977,TS001,TS007A
37,37,Residence type: Lives in a household; measures: Value,Age: Aged 55 to 59 years,0.306604152404875,TS001,TS007A
38,38,Residence type: Lives in a household; measures: Value,Age: Aged 60 to 64 years,0.24209992100847494,TS001,TS007A
39,39,Residence type: Lives in a household; measures: Value,Age: Aged 65 to 69 years,0.19090661504562761,TS001,TS007A
40,40,Residence type: Lives in a household; measures: Value,Age: Aged 70 to 74 years,0.15264252125896244,TS001,TS007A
41,41,Residence type: Lives in a household; measures: Value,Age: Aged 75 to 79 years,0.13011077016756692,TS001,TS007A
42,42,Residence type: Lives in a household; measures: Value,Age: Aged 80 to 84 years,0.12154451422908115,TS001,TS007A
43,43,Residence type: Lives in a household; measures: Value,Age: Aged 85 years and over,0.060110480787390584,TS001,TS007A
44,44,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 4 years and under,-0.28082678820466495,TS001,TS007A
45,45,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 5 to 9 years,-0.3491401295614082,TS001,TS007A
46,46,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 10 to 14 years,-0.3350511285748864,TS001,TS007A
47,47,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 15 to 19 years,0.7632592268392506,TS001,TS007A
48,48,Residence type: Lives in a communal establishment; measures: Value,Age: Aged 20 to 24 years,0.5694777283649285,TS001,TS007A
