,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Mean Qualification Years
0,North East,E12000001,1979782,10.417027228250383
1,North West,E12000002,5518914,10.64112015516096
2,Yorkshire and The Humber,E12000003,4068627,10.401841210806495
3,East Midlands,E12000004,3645191,10.53325134403108
4,West Midlands,E12000005,4409401,10.329512330586399
5,East,E12000006,4718334,10.797371063599991
6,London,E12000007,6658741,11.788568890125026
7,South East,E12000008,6963743,11.375342829280173
8,South West,E12000009,4328814,11.223641163607398
9,Wales,W92000004,2347492,10.610495797216775
