,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Mean Qualification Years
0,Hartlepool,E06000001,67627,9.860810031496296
1,Middlesbrough,E06000002,103876,9.837691093226539
2,Redcar and Cleveland,E06000003,100681,10.002592346122903
3,Stockton-on-Tees,E06000004,143422,10.6658322990894
4,Darlington,E06000005,79639,10.559248609349691
5,Halton,E06000006,95539,10.054218696029894
6,Warrington,E06000007,157965,11.089981958028677
7,Blackburn with Darwen,E06000008,109342,9.781758153317115
8,Blackpool,E06000009,105281,9.495901444705122
9,"Kingston upon Hull, City of",E06000010,192245,9.382886420973238
10,East Riding of Yorkshire,E06000011,259425,10.738968873470174
11,North East Lincolnshire,E06000012,115373,9.474053721407955
12,North Lincolnshire,E06000013,125177,9.907906404531184
13,York,E06000014,159466,11.898498739543225
14,Derby,E06000015,189760,10.461467116357504
15,Leicester,E06000016,267558,9.495488828590437
16,Rutland,E06000017,31569,11.77214989388324
17,Nottingham,E06000018,246403,10.677954408022629
18,"Herefordshire, County of",E06000019,143474,10.887080586029525
19,Telford and Wrekin,E06000020,136184,10.313333431240087
20,Stoke-on-Trent,E06000021,185997,9.304424264907498
21,Bath and North East Somerset,E06000022,150493,12.076887297083585
22,"Bristol, City of",E06000023,365883,11.863431752773428
23,North Somerset,E06000024,163182,11.350620779252614
24,South Gloucestershire,E06000025,216420,11.408173921079383
25,Plymouth,E06000026,197526,10.783709486346101
26,Torbay,E06000027,104784,10.240256145976485
27,Swindon,E06000030,169844,10.65390004945715
28,Peterborough,E06000031,152011,9.936833518626942
29,Luton,E06000032,157449,10.069451060343349
30,Southend-on-Sea,E06000033,134690,10.369633974311382
31,Thurrock,E06000034,125208,10.060794837390581
32,Medway,E06000035,202492,10.325341248049305
33,Bracknell Forest,E06000036,92145,11.629920234413154
34,West Berkshire,E06000037,120847,11.576489279833178
35,Reading,E06000038,131246,11.566188683845603
36,Slough,E06000039,108670,10.660320235575595
37,Windsor and Maidenhead,E06000040,115491,12.156349845442502
38,Wokingham,E06000041,131879,12.504727818682277
39,Milton Keynes,E06000042,207926,11.2774929542241
40,Brighton and Hove,E06000043,221976,12.255802429091434
41,Portsmouth,E06000044,157090,10.915220574193137
42,Southampton,E06000045,187177,10.99272346495563
43,Isle of Wight,E06000046,107147,10.540295108589135
44,County Durham,E06000047,396320,10.27513120710537
45,Cheshire East,E06000049,302368,11.517038840088897
46,Cheshire West and Chester,E06000050,272553,11.329877124816091
47,Shropshire,E06000051,248546,11.039779356738793
48,Cornwall,E06000052,433807,11.010546164538608
49,Isles of Scilly,E06000053,1600,11.934375
50,Wiltshire,E06000054,385578,11.419728304000747
51,Bedford,E06000055,135543,11.123193377747283
52,Central Bedfordshire,E06000056,216901,11.291635354378265
53,Northumberland,E06000057,243440,10.805664640157739
54,"Bournemouth, Christchurch and Poole",E06000058,304962,11.148011883447774
55,Dorset,E06000059,290832,11.09467665181273
56,Buckinghamshire,E06000060,411413,11.821580747326895
57,North Northamptonshire,E06000061,262067,10.290421915006467
58,West Northamptonshire,E06000062,313574,10.892714319426993
59,Bolton,E08000001,211463,10.021185739349201
60,Bury,E08000002,142057,10.792470627987358
61,Manchester,E08000003,410646,11.002091826049687
62,Oldham,E08000004,169753,9.60275223412841
63,Rochdale,E08000005,159327,9.898937405461723
64,Salford,E08000006,199676,10.729892425729682
65,Stockport,E08000007,219556,11.43774253493414
66,Tameside,E08000008,167359,9.961191211706572
67,Trafford,E08000009,173009,11.895259784173078
68,Wigan,E08000010,243034,10.140091509829901
69,Knowsley,E08000011,114690,9.421039323393495
70,Liverpool,E08000012,376204,10.354270555336997
71,St. Helens,E08000013,136993,10.171585409473476
72,Sefton,E08000014,212579,10.529398482446526
73,Wirral,E08000015,240090,10.853858969553084
74,Barnsley,E08000016,181345,9.48954203314125
75,Doncaster,E08000017,226958,9.498695793935442
76,Rotherham,E08000018,195373,9.681644853690122
77,Sheffield,E08000019,420374,10.800808327822368
78,Newcastle upon Tyne,E08000021,230683,11.032815595427492
79,North Tyneside,E08000022,155637,10.962348284790892
80,South Tyneside,E08000023,108537,10.238996839787353
81,Sunderland,E08000024,203960,9.833898803686997
82,Birmingham,E08000025,831341,10.048362825844029
