,uid,variable1,variable2,coefficient,k1,k2
28591,28591,Country of birth: Europe: United Kingdom; measures: Value,Age of arrival in the UK: Born in the UK; measures: Value,0.9999999966910593,TS004,TS018
28221,28221,Country of birth: Europe: United Kingdom; measures: Value,Year of arrival in the UK: Born in the UK; measures: Value,0.9999999927705955,TS004,TS015
116600,116600,Year of arrival in the UK: Born in the UK; measures: Value,Age of arrival in the UK: Born in the UK; measures: Value,0.9999999917430114,TS015,TS018
151619,151619,Multiple ethnic groups in household: One-person household,Multiple main languages in household: One-person household,0.9999999677790348,TS023,TS026
171191,171191,Distance travelled to work: Works mainly from home,Method of travel to workplace: Work mainly at or from home,0.9999999110169316,TS058,TS061
18080,18080,Household composition: One person household; measures: Value,Multiple ethnic groups in household: One-person household,0.9999998922880325,TS003,TS023
18269,18269,Household composition: One person household; measures: Value,Multiple main languages in household: One-person household,0.999999808074173,TS003,TS026
124551,124551,Household size: 1 person in household; measures: Value,Multiple ethnic groups in household: One-person household,0.9999997314191686,TS017,TS023
124984,124984,Household size: 1 person in household; measures: Value,Multi religion household: One-person household,0.9999997230238559,TS017,TS075
124632,124632,Household size: 1 person in household; measures: Value,Multiple main languages in household: One-person household,0.9999997161320395,TS017,TS026
16632,16632,Household composition: One person household; measures: Value,Household size: 1 person in household; measures: Value,0.9999996270714647,TS003,TS017
28382,28382,Country of birth: Europe: United Kingdom; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,0.9999995024068071,TS004,TS016
116432,116432,Year of arrival in the UK: Born in the UK; measures: Value,Length of residence in the UK: Born in the UK; measures: Value,0.9999995018183163,TS015,TS016
121841,121841,Length of residence in the UK: Born in the UK; measures: Value,Age of arrival in the UK: Born in the UK; measures: Value,0.9999995012270411,TS016,TS018
151814,151814,Multiple ethnic groups in household: One-person household,Multi religion household: One-person household,0.9999989670882583,TS023,TS075
19088,19088,Household composition: One person household; measures: Value,Multi religion household: One-person household,0.9999989364201712,TS003,TS075
155065,155065,Multiple main languages in household: One-person household,Multi religion household: One-person household,0.9999989197449081,TS026,TS075
138656,138656,Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces,Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces,0.9993799280327159,TS072,TS074
42309,42309,Passports held: Europe: Ireland; measures: Value,National identity: Irish only identity,0.9978213102861312,TS005,TS027
116485,116485,Year of arrival in the UK: Arrived 2017 to 2019; measures: Value,"Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value",0.9972678341032978,TS015,TS016
116474,116474,Year of arrival in the UK: Arrived 2011 to 2013; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value",0.9970820324685805,TS015,TS016
137029,137029,UK armed forces veteran indicator: Has not previously served in any UK armed forces,Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces,0.9969191777218559,TS071,TS072
153535,153535,"Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language",Proficiency in English language: Main language is English (English or Welsh in Wales),0.9968136323241544,TS025,TS029
137041,137041,UK armed forces veteran indicator: Previously served in UK armed forces,Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces,0.9967309165186257,TS071,TS074
116479,116479,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value",0.9965043065254408,TS015,TS016
137056,137056,UK armed forces veteran indicator: Has not previously served in any UK armed forces,Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces,0.9964080620176579,TS071,TS074
4633,4633,Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value,0.9963789257444923,TS002,TS010
4619,4619,Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value,Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value,0.9963294393301935,TS002,TS010
116491,116491,Year of arrival in the UK: Arrived 2020 to 2021; measures: Value,Length of residence in the UK: Less than 2 years; measures: Value,0.9948357891723818,TS015,TS016
117674,117674,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,National identity: Other identity only,0.9932897785319794,TS015,TS027
138657,138657,Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces,Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces,0.9929484991621399,TS072,TS074
117676,117676,Year of arrival in the UK: Arrived 2014 to 2016; measures: Value,National identity: Non-UK identity only,0.9929348878090803,TS015,TS027
137051,137051,UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces,Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces,0.9926921388605782,TS071,TS074
137046,137046,UK armed forces veteran indicator: Previously served in UK reserve armed forces,Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces,0.9926496296926949,TS071,TS074
137018,137018,UK armed forces veteran indicator: Previously served in UK armed forces,Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces,0.9925271270911447,TS071,TS072
122264,122264,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value",National identity: Other identity only,0.9922916637053357,TS016,TS027
122266,122266,"Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value",National identity: Non-UK identity only,0.9921526605668406,TS016,TS027
153554,153554,"Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language",Proficiency in English language: Main language is not English (English or Welsh in Wales),0.9905316933093332,TS025,TS029
143319,143319,Ethnic group: White: Irish,National identity: Irish only identity,0.9904478205688446,TS021,TS027
41069,41069,Passports held: Europe: Ireland; measures: Value,Ethnic group: White: Irish,0.9902499728918298,TS005,TS021
211201,211201,Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less,Occupancy rating for rooms: Occupancy rating of rooms: -2 or less,0.9901280260469165,TS052,TS053
128947,128947,Age of arrival in the UK: Arrived in the UK; measures: Value,National identity: Non-UK identity only,0.9892857723814411,TS018,TS027
